yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
104,4.4767,0.1409,2407,7,4.2575,4.3043,4.3788,4.4668,4.5739,4.6657,4.7154,4.3358,4.6176,4.195,4.7585
105,4.4774,0.1404,2427,7,4.259,4.3043,4.3806,4.4674,4.5732,4.6671,4.7212,4.337,4.6179,4.1965,4.7583
106,4.4781,0.1404,2427,7,4.2613,4.3061,4.3816,4.4689,4.5727,4.6674,4.7184,4.3377,4.6185,4.1973,4.7589
107,4.478,0.1403,2435,7,4.2617,4.3084,4.3823,4.4685,4.572,4.6695,4.7245,4.3377,4.6182,4.1974,4.7585
108,4.4777,0.1401,2435,7,4.2612,4.3075,4.3828,4.4682,4.5692,4.6746,4.7279,4.3376,4.6177,4.1976,4.7578
109,4.4778,0.1396,2435,7,4.2577,4.3052,4.3817,4.4668,4.5635,4.6678,4.7217,4.3382,4.6174,4.1987,4.757
110,4.479,0.1389,2435,7,4.2617,4.3067,4.3817,4.4662,4.5635,4.6678,4.7217,4.3401,4.6179,4.2012,4.7568
111,4.4821,0.1382,2435,7,4.2651,4.3093,4.3828,4.4709,4.5693,4.6665,4.7145,4.3439,4.6204,4.2057,4.7586
112,4.4876,0.1373,2443,7,4.2691,4.313,4.3874,4.4791,4.578,4.6687,4.7154,4.3503,4.6249,4.2129,4.7622
113,4.4947,0.1359,2467,7,4.284,4.321,4.3931,4.49,4.5897,4.6821,4.7261,4.3588,4.6307,4.2228,4.7666
114,4.502,0.1345,2491,7,4.2949,4.3304,4.4053,4.5,4.5976,4.6863,4.7296,4.3675,4.6365,4.2329,4.7711
115,4.5087,0.133,2515,7,4.3048,4.3415,4.415,4.5099,4.607,4.6908,4.7317,4.3757,4.6417,4.2426,4.7747
116,4.5136,0.1313,2516,7,4.3106,4.3489,4.421,4.5136,4.6099,4.6901,4.7299,4.3823,4.645,4.2509,4.7763
117,4.5166,0.1302,2515,7,4.3164,4.351,4.425,4.5181,4.6128,4.6899,4.7303,4.3864,4.6468,4.2563,4.7769
118,4.5177,0.1295,2515,7,4.3159,4.3522,4.4237,4.5207,4.6115,4.6905,4.7329,4.3882,4.6471,4.2587,4.7766
119,4.5177,0.1293,2519,7,4.313,4.3516,4.4229,4.521,4.6096,4.6899,4.7332,4.3884,4.6469,4.2592,4.7762
120,4.5171,0.1289,2519,7,4.3128,4.35,4.42,4.5207,4.6077,4.6884,4.7308,4.3883,4.646,4.2594,4.7748
121,4.5167,0.1284,2519,7,4.3102,4.3495,4.4173,4.5169,4.6073,4.6895,4.7307,4.3883,4.6451,4.2599,4.7735
122,4.5173,0.128,2519,7,4.3099,4.3502,4.421,4.5192,4.6054,4.6864,4.7271,4.3893,4.6453,4.2614,4.7733
123,4.5188,0.1278,2519,7,4.3094,4.3512,4.425,4.5224,4.6054,4.6859,4.728,4.391,4.6467,4.2632,4.7745
124,4.521,0.1278,2519,7,4.3153,4.3562,4.4295,4.5252,4.6061,4.6899,4.7347,4.3932,4.6487,4.2655,4.7765
