yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
124,5.401,0.2187,4056,12,5.0209,5.1008,5.2501,5.4177,5.5558,5.6563,5.7267,5.1823,5.6197,4.9636,5.8384
125,5.3981,0.2155,4053,12,5.0234,5.104,5.2466,5.4139,5.5512,5.6536,5.7219,5.1827,5.6136,4.9672,5.829
126,5.3955,0.2126,4012,12,5.025,5.1071,5.2475,5.415,5.5507,5.6523,5.7103,5.1829,5.6082,4.9703,5.8208
127,5.3937,0.2108,3966,12,5.0274,5.1084,5.2456,5.4118,5.5499,5.6473,5.7053,5.1829,5.6046,4.9721,5.8154
128,5.3929,0.2097,3942,12,5.0352,5.1103,5.2416,5.4059,5.5458,5.6416,5.6969,5.1832,5.6026,4.9735,5.8122
129,5.3922,0.2086,3923,13,5.0384,5.1147,5.2412,5.3986,5.5453,5.6408,5.6969,5.1836,5.6009,4.975,5.8095
130,5.3928,0.2077,3923,13,5.0471,5.1214,5.2431,5.3966,5.5452,5.6451,5.7062,5.1851,5.6005,4.9774,5.8081
131,5.3952,0.2071,3932,13,5.0591,5.1257,5.2447,5.3936,5.545,5.6482,5.7147,5.188,5.6023,4.9809,5.8095
132,5.3988,0.207,3957,13,5.0679,5.1318,5.2471,5.3964,5.5444,5.6528,5.7241,5.1918,5.6059,4.9848,5.8129
133,5.4026,0.2073,3981,13,5.0749,5.139,5.2518,5.3997,5.5505,5.6584,5.7313,5.1954,5.6099,4.9881,5.8172
134,5.4066,0.2079,4001,13,5.0854,5.1457,5.2545,5.403,5.5558,5.6683,5.7393,5.1987,5.6145,4.9907,5.8224
135,5.4101,0.2089,4025,13,5.0873,5.1464,5.2555,5.4031,5.5596,5.6729,5.7459,5.2012,5.619,4.9923,5.8279
136,5.4122,0.2097,4045,13,5.0873,5.1478,5.2566,5.4055,5.5596,5.6768,5.756,5.2025,5.6219,4.9928,5.8316
137,5.4131,0.2102,4063,13,5.0796,5.1478,5.2567,5.4068,5.5613,5.6835,5.7656,5.2029,5.6233,4.9927,5.8335
138,5.413,0.2101,4096,13,5.0792,5.1456,5.2583,5.4087,5.5576,5.6797,5.7655,5.2029,5.6231,4.9928,5.8332
139,5.4115,0.2094,4118,13,5.0778,5.1425,5.2591,5.4097,5.5544,5.6774,5.7663,5.2022,5.6209,4.9928,5.8302
140,5.4092,0.2081,4142,13,5.0777,5.1406,5.2591,5.4085,5.5478,5.6706,5.7637,5.2011,5.6173,4.993,5.8255
141,5.4066,0.2066,4207,13,5.0764,5.1372,5.2558,5.403,5.5389,5.6626,5.7555,5.2,5.6131,4.9934,5.8197
142,5.4036,0.2048,4290,14,5.0772,5.1375,5.2553,5.3991,5.5317,5.6626,5.7578,5.1988,5.6084,4.994,5.8131
143,5.4007,0.2029,4362,14,5.0788,5.1409,5.2564,5.3947,5.5262,5.6567,5.7548,5.1978,5.6036,4.9949,5.8065
144,5.3985,0.2012,4429,14,5.0764,5.1389,5.2571,5.393,5.52,5.6543,5.747,5.1973,5.5996,4.9961,5.8008
145,5.3961,0.1994,4477,14,5.0756,5.1382,5.2587,5.3927,5.519,5.6474,5.7396,5.1967,5.5955,4.9973,5.7948
146,5.3933,0.1975,4520,14,5.0752,5.1376,5.2576,5.3914,5.5182,5.6445,5.7321,5.1958,5.5908,4.9984,5.7882
147,5.3899,0.1952,4544,14,5.0757,5.1376,5.254,5.3867,5.5166,5.6407,5.7292,5.1946,5.5851,4.9994,5.7803
148,5.3861,0.1926,4568,14,5.0787,5.1401,5.2517,5.3823,5.5083,5.6365,5.7209,5.1935,5.5788,5.0009,5.7714
149,5.3826,0.1894,4596,14,5.0764,5.1381,5.2493,5.3773,5.5034,5.6214,5.7018,5.1932,5.572,5.0038,5.7614
150,5.38,0.1858,4614,14,5.0766,5.1374,5.2489,5.3758,5.5003,5.6117,5.6837,5.1942,5.5658,5.0084,5.7516
151,5.3788,0.1826,4640,14,5.0814,5.1418,5.249,5.3748,5.4985,5.6064,5.6739,5.1962,5.5613,5.0136,5.7439
152,5.3792,0.1802,4669,14,5.0872,5.1462,5.252,5.377,5.5002,5.6053,5.6671,5.199,5.5594,5.0188,5.7396
153,5.3807,0.1788,4702,14,5.0893,5.1477,5.2541,5.3816,5.5034,5.6074,5.6671,5.2019,5.5594,5.0231,5.7382
154,5.3832,0.1783,4728,14,5.0904,5.1494,5.2567,5.3837,5.5076,5.612,5.672,5.2048,5.5615,5.0265,5.7398
155,5.386,0.1786,4753,14,5.0937,5.1508,5.2573,5.3847,5.5105,5.6156,5.6753,5.2073,5.5646,5.0287,5.7432
156,5.3888,0.1794,4777,14,5.0981,5.1515,5.2591,5.3906,5.5144,5.6192,5.6773,5.2095,5.5682,5.0301,5.7475
157,5.3917,0.1803,4788,14,5.0983,5.1521,5.2622,5.3943,5.5187,5.6237,5.6819,5.2114,5.572,5.031,5.7524
158,5.3946,0.1813,4778,14,5.0984,5.1516,5.2624,5.3974,5.5247,5.6294,5.6841,5.2133,5.576,5.0319,5.7573
159,5.3974,0.1827,4773,14,5.1013,5.1522,5.2618,5.4005,5.5305,5.6334,5.6878,5.2147,5.5801,5.0321,5.7628
160,5.4004,0.1842,4784,14,5.1048,5.1534,5.26,5.4019,5.5346,5.6397,5.6978,5.2162,5.5846,5.0321,5.7687
161,5.4037,0.1859,4799,14,5.107,5.1558,5.26,5.4029,5.5401,5.6448,5.7072,5.2178,5.5896,5.0318,5.7756
162,5.4077,0.1877,4815,14,5.1104,5.1589,5.2641,5.4056,5.5445,5.6502,5.7181,5.22,5.5955,5.0323,5.7832
163,5.412,0.1896,4830,14,5.1094,5.16,5.2686,5.4093,5.5494,5.6567,5.7268,5.2224,5.6016,5.0327,5.7913
164,5.4162,0.1913,4845,14,5.1146,5.1633,5.2732,5.4148,5.5554,5.6657,5.74,5.2249,5.6074,5.0336,5.7987
165,5.4197,0.1927,4867,14,5.116,5.1663,5.2765,5.4163,5.5576,5.6719,5.7471,5.227,5.6125,5.0343,5.8052
166,5.4224,0.1938,4883,14,5.1189,5.1686,5.2783,5.4158,5.5612,5.6738,5.756,5.2286,5.6162,5.0348,5.8101
167,5.4238,0.1947,4900,14,5.1206,5.1706,5.2811,5.4154,5.5612,5.6757,5.7651,5.2291,5.6186,5.0344,5.8133
